Node Number =  35749
  -84.45345       46.72269       46.72269    
  -84.44615       46.69624       46.69624    
  -84.46783       46.67377       46.67377    
  -84.49133       46.65229       46.65229    
  -84.51768       46.63234       46.63234    
  -84.54189       46.61117       46.61117    
  -84.56433       46.58927       46.58927    
  -84.57053       46.56264       46.56264    
  -84.47700       46.70371       46.70371    
  -84.48171       46.72976       46.72976    
  -84.49994       46.68346       46.68346    
  -84.52396       46.66379       46.66379    
  -84.54665       46.64357       46.64357    
  -84.57131       46.62536       46.62536    
  -84.58612       46.60394       46.60394    
  -84.59975       46.57853       46.57853    
  -84.60960       46.55285       46.55285    
  -84.57989       46.53658       46.53658    
  -84.51042       46.70898       46.70898    
  -84.52024       46.72929       46.72929    
  -84.53668       46.69046       46.69046    
  -84.56435       46.67186       46.67186    
  -84.57911       46.64787       46.64787    
  -84.60685       46.62807       46.62807    
  -84.62258       46.60085       46.60085    
  -84.63506       46.57543       46.57543    
  -84.64651       46.54950       46.54950    
  -84.62202       46.52723       46.52723    
  -84.59328       46.51124       46.51124    
  -84.54707       46.71578       46.71578    
  -84.55232       46.74120       46.74120    
  -84.57328       46.70049       46.70049    
  -84.60283       46.68602       46.68602    
  -84.60535       46.66021       46.66021    
  -84.63567       46.64235       46.64235    
  -84.64812       46.61620       46.61620    
  -84.66412       46.59194       46.59194    
  -84.67061       46.56820       46.56820    
  -84.68497       46.54539       46.54539    
  -84.65879       46.52468       46.52468    
  -84.64037       46.50009       46.50009    
  -84.61287       46.48803       46.48803    
  -84.58049       46.72831       46.72831    
  -84.58499       46.75452       46.75452    
  -84.55476       46.76812       46.76812    
  -84.60749       46.71460       46.71460    
  -84.63395       46.70127       46.70127    
  -84.63988       46.67244       46.67244    
  -84.66319       46.65097       46.65097    
  -84.67627       46.62788       46.62788    
  -84.69406       46.60345       46.60345    
  -84.70690       46.57428       46.57428    
  -84.72033       46.54134       46.54134    
  -84.69393       46.51923       46.51923    
  -84.67503       46.50119       46.50119    
  -84.67770       46.47638       46.47638    
  -84.63901       46.47282       46.47282    
  -84.61489       46.74122       46.74122    
  -84.58195       46.78051       46.78051    
  -84.61645       46.76752       46.76752    
  -84.54564       46.79299       46.79299    
  -84.64326       46.72786       46.72786    
  -84.67122       46.71635       46.71635    
  -84.66036       46.69422       46.69422    
