Node Number =  35749
  -84.45345       46.72269       4.927833    
  -84.44615       46.69624       8.356408    
  -84.46783       46.67377       9.281015    
  -84.49133       46.65229       16.28741    
  -84.51768       46.63234       18.81335    
  -84.54189       46.61117       18.45535    
  -84.56433       46.58927       23.03007    
  -84.57053       46.56264       24.38912    
  -84.47700       46.70371       17.29973    
  -84.48171       46.72976       12.81281    
  -84.49994       46.68346       29.28158    
  -84.52396       46.66379       42.82401    
  -84.54665       46.64357       47.48881    
  -84.57131       46.62536       59.37687    
  -84.58612       46.60394       59.90960    
  -84.59975       46.57853       49.98743    
  -84.60960       46.55285       39.77012    
  -84.57989       46.53658       12.56446    
  -84.51042       46.70898       15.40728    
  -84.52024       46.72929       7.927995    
  -84.53668       46.69046       7.684941    
  -84.56435       46.67186       31.16121    
  -84.57911       46.64787       61.19408    
  -84.60685       46.62807       67.61189    
  -84.62258       46.60085       61.90006    
  -84.63506       46.57543       55.98965    
  -84.64651       46.54950       40.24088    
  -84.62202       46.52723       27.39173    
  -84.59328       46.51124       7.987372    
  -84.54707       46.71578       4.877619    
  -84.55232       46.74120       4.097477    
  -84.57328       46.70049       9.909999    
  -84.60283       46.68602       54.55222    
  -84.60535       46.66021       69.06601    
  -84.63567       46.64235       67.78465    
  -84.64812       46.61620       40.80397    
  -84.66412       46.59194       29.10695    
  -84.67061       46.56820       31.40990    
  -84.68497       46.54539       29.17695    
  -84.65879       46.52468       18.61482    
  -84.64037       46.50009       24.56763    
  -84.61287       46.48803       8.416866    
  -84.58049       46.72831       18.30607    
  -84.58499       46.75452       18.44164    
  -84.55476       46.76812       3.861605    
  -84.60749       46.71460       62.39752    
  -84.63395       46.70127       72.62054    
  -84.63988       46.67244       62.95486    
  -84.66319       46.65097       27.86000    
  -84.67627       46.62788       27.75743    
  -84.69406       46.60345       38.50068    
  -84.70690       46.57428       50.30155    
  -84.72033       46.54134       65.61269    
  -84.69393       46.51923       14.30135    
  -84.67503       46.50119       5.883457    
  -84.67770       46.47638       4.831697    
  -84.63901       46.47282       4.418734    
  -84.61489       46.74122       57.15940    
  -84.58195       46.78051       13.84749    
  -84.61645       46.76752       57.97562    
  -84.54564       46.79299       4.969310    
  -84.64326       46.72786       57.81706    
  -84.67122       46.71635       21.22724    
  -84.66036       46.69422       29.34206    
  -84.67783       46.68228       34.76732    
  -84.68329       46.66597       32.59125    
  -84.70097       46.64441       29.83885    
  -84.71832       46.62120       53.29703    
  -84.73876       46.59583       101.8670    
  -84.74374       46.56351       105.2548    
  -84.75774       46.53437       71.10609    
  -84.73042       46.51414       45.87954    
  -84.70847       46.49416       10.86467    
  -84.71490       46.47122       6.691385    
  -84.64883       46.75397       50.95844    
  -84.56950       46.80561       15.79840    
  -84.60903       46.79356       61.09274    
  -84.64626       46.78041       34.12380    
  -84.52455       46.81575       4.596593    
  -84.68007       46.74160       14.49285    
  -84.70845       46.72646       13.16223    
  -84.69643       46.70219       18.44519    
  -84.71136       46.68262       7.129789    
  -84.71655       46.66306       5.990096    
  -84.74038       46.64431       78.66879    
  -84.75491       46.62022       133.1236    
  -84.78737       46.60583       51.14146    
  -84.76985       46.58043       80.46709    
  -84.78105       46.55520       34.61268    
  -84.79978       46.52840       56.10365    
  -84.76810       46.50884       38.28287    
  -84.74597       46.48794       28.32772    
  -84.75131       46.46149       15.31812    
  -84.68134       46.76788       16.04389    
  -84.55359       46.82934       13.31101    
  -84.59666       46.82037       56.69861    
  -84.63637       46.80610       23.71210    
  -84.67538       46.79425       16.37435    
  -84.51883       46.84238       6.585135    
  -84.48989       46.82723       3.827308    
  -84.71559       46.75544       6.237963    
  -84.74109       46.73097       20.15327    
  -84.73189       46.70281       7.293930    
  -84.74045       46.67397       32.66144    
  -84.76420       46.65546       122.3756    
  -84.78628       46.63517       104.1390    
  -84.82505       46.62777       81.50776    
  -84.83118       46.60202       89.29598    
  -84.80591       46.57940       65.23443    
  -84.81838       46.55455       62.27626    
  -84.84141       46.53196       64.77339    
  -84.83627       46.50736       59.85130    
  -84.80248       46.50225       56.93817    
  -84.78336       46.48160       46.17661    
  -84.78952       46.45604       26.88363    
  -84.71227       46.78454       12.85940    
  -84.54386       46.85988       11.99879    
  -84.57384       46.84350       32.17432    
  -84.60256       46.84930       60.02193    
